kind,text,happiness_average,happiness_std
review,Absolutely amazing chargrilled oysters! I wanted to lick my plate! So flavorful and delicious. I also had the shrimp and fish Po boy. I wished I tried Acme on the first day of my trip as I would have eaten here everyday! So delicious!,5.719117647058823,0.5148128642196147
review,"Use to be great but going down hill, got a salad for carry out and the lettuce was rotten.  Pizzas are not as good as they use to be either.  2 stars bc they have good beers, they need to step it up.",5.42,0.5148128642196147
review,I LOVE Casitia Taqueria! Everything is great there. I love the black bean bowl and veggie burritos. Great guacamole and homey habanero sauce is on point! Service is always good too! I also love that they have meatless Monday!,6.096428571428571,0.5148128642196147
review,"Honestly, my family comes here on a regular basis JUST for the chicken nachos. They are AMAZING. We have never been here & not been impressed. My husband & I usually get burgers of course but today I tried the sriracha Caesar salad and added shrimp and even that was amazing! So happy to have a great spot just a quick 5 min drive away. Thanks for the great food & service as always",5.690333333333333,0.5148128642196147
review,My daughters and I were in Nashville for the weekend and absolutely fell in love with this restaurant. Simply fabulous!!  The atmosphere was friendly and the food was our favorite of the weekend. We loved every part of it!,5.817714285714286,0.5148128642196147
review,"Fantastic food, great variety, good prices and wonderful owners. You couldn't ask for more.",6.0200000000000005,0.5148128642196147
review,"This is a unique fun restaurant that everyone should try at least once.  Perfect if you have out of town guests with kids. 

Fun restaurant that is great for families.  You feel like you've transported back to the 60's, western style (no hippies).  The waiter was super friendly but not over the top.   Also, he had a great handlebar mustache.

I had a fillet which was cooked perfectly.  The beans were nothing to write about.  I'd give the food a solid 3 stars.

I went early for dinner and the large open dining room with rustic western decor was not too loud and was plenty fun.

Did mention it was fun?",5.616888888888889,0.5148128642196147
review,"Not really into lunch meat sandwiches, but my coworker paid for it. I got the steak and cheese knowing that was the only thing I could stomach. It was ok but I wouldn't pay for it myself . The staff seem to all have bad attitudes but hey that's ok, I wont be back.",5.387659574468085,0.5148128642196147
review,I've been going to them for some time now and they are excellent! Super clean and professional and always take their time to do an exceptional job. I've gotten so many different styles and each one has been amazing and lasted well over three weeks. Highly recommend!,5.606341463414634,0.5148128642196147
review,"We enjoyed ribs and pulled pork - both meats were tender with excellent smoke flavor. If you like hot'n'sweet - try the Voodoo sauce. The pit-smoked beans were awesome with full smoke penetration through the beans, not just the sauce. Looking forward to next time - soon!",5.550882352941176,0.5148128642196147
