user_id,business_id,date,compliment_count,text,kind
zDtlVamhGEJ2Rm8xKlmw9g,FWaU544E0DNj3mkjlKif_Q,2013-07-19 02:41:23,0,Best sushi!!,tip
wAgg_B9OQzL8_UF8ozu1eQ,ATFZcrpfXmE-2HZEjXbYYg,2011-09-24 01:10:46,0,Great take out chinese.  They have St Paul sandwich,tip
PNTbcuPX5V81XibwrNzskg,Cvsnu42EAZeia5UJnbKeHA,2011-05-07 19:25:21,0,Jazz fest!!,tip
6C28yKkCoZjCSmv_pXHPYw,hwDDy0E5s81DNLYUnMqitQ,2015-01-06 06:06:40,0,"Baggage claim is in a small trailer where bags are basically thrown in by workers. Make sure you don't have valuables in your checked bags, or make sure to protect them.",tip
spkspIaGx9aj8wsnGOVnqA,WxB8498ejPtHE7wFa89_fA,2013-01-15 00:58:27,0,Chilean Sea Bass is amazing every time!,tip
ktcE-wMdSOWx5fK9f5JQbQ,mHR_A171a7L7sXNyNZjRiA,2015-08-20 06:22:16,0,Working on my swing!,tip
Ruk4y8uGkD58TDtK6rbchA,ijO7s3wtkruqd-rdBZjF_w,2018-09-15 21:21:31,0,Great service and did a great job! Appreciate the extra effort!,tip
iJzj7z26Oqb3x2j7ZYkviw,ywEbOYoi_G4qhmOgKLg55w,2013-04-20 16:53:12,0,Enjoy a love or raw earth pedicure.  Very pampering and reasonably priced.,tip
pWLA1AEoYgXgpnyA14SzTg,gGyqnAlpFrka_qzpO7j4lQ,2011-07-09 20:09:52,0,CP Lee,tip
sYWb2J0sgFyLcBh8y-ynjg,487YGb35SthVkMakBjGnxQ,2015-02-19 17:45:06,0,Feaning!!!!!!!!!!,tip
khgKCA5KbeWFdrfRWQ1MMA,8NSzJSdgt1IMkTdA2Cf65g,2015-07-04 15:21:18,0,It was a very nice and beautiful hotel. Staff was friendly with a B &B feel.,tip
2IIdW6DnOV5uB2hvtvXrkg,BmKCJsV_payJ5ANqC7i85g,2011-09-24 17:06:03,0,Tabouli and fries sandwich. Mmmmmm,tip
c-4gKqV3sSnnDlGJDBjuMg,xq7UnFYQ4ZvLV6j1UKzEzQ,2014-03-24 20:48:40,0,"Patio, live music, chill atmosphere, and awesome food. I'll be back again.",tip
nt1eOOktUCKR6qTgdSq6-g,NHL1c_30iYXvJZcqEo6fwQ,2012-10-30 01:23:39,0,Gotta love Pal's,tip
q_GFJIMAi5NOOB69bLqhSQ,uqavoCUo9hR4JSvoVgj8GA,2020-08-14 00:40:25,0,Didn't give it a chance. The pool tables were closed cuz COVID.,tip
ftRtwXjXATZSmEr1VFecIQ,pWDE_rueENu_f5HKA_AsWw,2016-02-17 17:30:47,0,"Collin, the Goleta store manager is owning it. Beautiful design, atmosphere, and customer experience. Let's not forget, A+++ quality. Keep doing what you're doing French Press!",tip
IprTsK4IdnKOyBS6PGKkkg,ZnWZgEyEbmXxgZUEm3fvkw,2010-01-26 16:47:45,0,Needed pit stop before Nissan meeting. Bathroom out of order. Cupcakes crushed by obscene amount of frosting,tip
EfTREsIEx5ZHd8gnOkLujQ,CfXohcbgJA17osJOwAhQBA,2017-03-24 20:50:00,0,"I am obsessed with their red velvet cupcake, but today I fell in love with the raspberry cheesecake cupcake!! The peanut butter blossom was tasty as well!",tip
YnKfyDwUtze7RYSrnI4jVw,8O35ji_yOMVJmZ6bl96yhQ,2012-06-18 21:34:51,0,Oh TSA....,tip
zYFGMy1_thjMnvQLX6JNBw,PrqnVokpplB1Lt-fkBILTg,2013-06-28 14:15:08,0,Today only cookie $1 each no limit,tip
5gT1R-EthZ3eGsrP8r79dg,JXXjN3mw4zKdBTpRtVQKcg,2012-08-12 03:06:17,0,"Recent take-out order was a very good chicken cheese steak with mushrooms, roll was still soft and fresh at 7:00 pm, and a classic Italian with sharp provolone and prosciutto ... Delicious",tip
ASNzOPFSIyQ08NTByGn6hw,f1zE18e1miasvAs65UogFQ,2017-08-24 19:05:37,0,Simply Excellent experience!!,tip
aSDEKHyiDsVvPJAWBgWGKA,lOZxgiTD0KBCaECdL1eWHA,2018-12-15 05:25:05,0,Their veggie burger patties are Match (i.e. locally produced)!,tip
Q37HuTy7S4cNi7evZ6ATVg,6gCQvovXf3wmrfwuTyeLlQ,2015-05-19 17:55:10,0,Yummy!! I will be taking some friends who will be visiting this weekend. So excited.,tip
