review_id,business_id,user_id,stars,date,text,kind
ZJMRDYBKfBkBHHwhSa1NoQ,_ab50qdWOk0DdB6XOrBitw,KIuLRWTOEB-fbUVSJOPhzw,5.0,2016-07-14 06:06:01,Absolutely amazing chargrilled oysters! I wanted to lick my plate! So flavorful and delicious. I also had the shrimp and fish Po boy. I wished I tried Acme on the first day of my trip as I would have eaten here everyday! So delicious!,review
DNbYBhG3-NhW87Wx0phvtw,UnqMg3e3qgCvEYW0E4RUYQ,nXhN_RIbtUxlXNdVCqSedA,2.0,2015-07-24 22:25:29,"Use to be great but going down hill, got a salad for carry out and the lettuce was rotten.  Pizzas are not as good as they use to be either.  2 stars bc they have good beers, they need to step it up.",review
t79yScRYX-7B1D_7B8coqQ,uKEabBQrn0gLzvTppOrKIA,dF-LgpnngEiDQfqJwxTXjQ,5.0,2016-08-03 00:15:55,I LOVE Casitia Taqueria! Everything is great there. I love the black bean bowl and veggie burritos. Great guacamole and homey habanero sauce is on point! Service is always good too! I also love that they have meatless Monday!,review
s5tKmRGkqi8q51e44slxyA,cFr89kiSMvB1WsoGB_ZPBA,2Y-JhwIo24BJQGmOzBQnmQ,5.0,2019-03-03 04:20:32,"Honestly, my family comes here on a regular basis JUST for the chicken nachos. They are AMAZING. We have never been here & not been impressed. My husband & I usually get burgers of course but today I tried the sriracha Caesar salad and added shrimp and even that was amazing! So happy to have a great spot just a quick 5 min drive away. Thanks for the great food & service as always",review
fKtVSUj5Mad8yEUa1KtCWw,-qNVtEd8Z9MtCfC5dii6nQ,oLUXITeC0tg2ue4TcqYrAw,5.0,2017-03-13 02:00:59,My daughters and I were in Nashville for the weekend and absolutely fell in love with this restaurant. Simply fabulous!!  The atmosphere was friendly and the food was our favorite of the weekend. We loved every part of it!,review
LUnriEPV121vaTOIP8goGw,VH_mEDSpPBScwN7uRNjN5g,U5XX-d5QvbaInXWRtsL90Q,5.0,2018-07-19 21:21:48,"Fantastic food, great variety, good prices and wonderful owners. You couldn't ask for more.",review
EfSevr1QyAFzmbKXJm_lQw,7SsVhkUIiDxZSsXR8XiIEQ,_3_PTPc0pl_FUK5cd27HtQ,4.0,2019-05-11 09:51:03,"This is a unique fun restaurant that everyone should try at least once.  Perfect if you have out of town guests with kids. 

Fun restaurant that is great for families.  You feel like you've transported back to the 60's, western style (no hippies).  The waiter was super friendly but not over the top.   Also, he had a great handlebar mustache.

I had a fillet which was cooked perfectly.  The beans were nothing to write about.  I'd give the food a solid 3 stars.

I went early for dinner and the large open dining room with rustic western decor was not too loud and was plenty fun.

Did mention it was fun?",review
oPGQlWNm9WLDGEgYJvtqcw,AroThfwhNmj8YNlQePGwlQ,GkdDOpxSziKbrIYsg-WyZg,1.0,2016-04-10 03:38:51,"Not really into lunch meat sandwiches, but my coworker paid for it. I got the steak and cheese knowing that was the only thing I could stomach. It was ok but I wouldn't pay for it myself . The staff seem to all have bad attitudes but hey that's ok, I wont be back.",review
tEYRi2r8XxnDsf5sU28yCA,U5VMOr7OfpbmdUa6ELyg7w,2GAtNxIIm1HdUQjaba1ETQ,5.0,2021-08-07 03:26:29,I've been going to them for some time now and they are excellent! Super clean and professional and always take their time to do an exceptional job. I've gotten so many different styles and each one has been amazing and lasted well over three weeks. Highly recommend!,review
3qWU_dQzTiqIPwZBOTcDTA,e6DF-FlJ-BXf1vetAkr3Tg,vKLnPQojjHGNkpgBRt6L2g,5.0,2015-07-09 00:50:14,"We enjoyed ribs and pulled pork - both meats were tender with excellent smoke flavor. If you like hot'n'sweet - try the Voodoo sauce. The pit-smoked beans were awesome with full smoke penetration through the beans, not just the sauce. Looking forward to next time - soon!",review
H4rZyS02B_Dz1FFVG0VnfQ,NujpqW9nibv2UID-hev-kw,yXuUVBtgSsWZNPHBteYLBg,5.0,2018-01-25 22:28:40,Tony and Asia both need raises!!! They both were very fast and friendly. Tony even gave me a way to tweak my usual order! My new favorite location!,review
ZUw-EuazvMwFt3IHR6YETA,sPxAZRMzMsvwO2e8impPBA,HVvCn8uvxFyaGiRVrlzg6Q,5.0,2018-05-08 13:27:14,"Oh sweet Meat..
One of my favs restaurants and truly mostly compliments to the restaurant.  It is located in old strathcona,  it is a spacious, modern and an inviting restaurant.  The king of the menu is meat and it comes in different options.  You also have chicken and pork.  It is a sharing style place so be prepared to share your meal with your friends.  Portions are good size, not very large so you do need to order three portions for two if you want to feel full.  The side dishes are fantastic.. Try the corn bread.. It is so good!!! .  Not a good place for a dieter for sure.  I have been there a few times and I haven't waited for too long or felt rushed after finishing my food.  Service is consistently good.  My only suggestion to the owner is to maybe use some sort of door to enter the bathrooms.  If you are siting by the bathroom area, the traffic is high and also you can actually peek people in it.   I have sat a couple of times around there and It felt kind of funny.  Other than  that.. Great place to eat and grab a drink.  Very causal and relatively affordable so it is recommended for a visit.  Let me know your thoughts.",review
SVadIq_ui5-zyoieJnOppw,5wlbureqTc6gsaB_y-OkOA,3lT32XThdExFTPAchtIRXQ,5.0,2019-10-12 14:13:58,"With all the coffee shop options around the city of Indianapolis, Bovaconti offers several unique features that set it apart from all the others. Nestled right in the heart of Fountain Square, off Virginia Avenue, it is very accessible to pedestrians and also has ample parking for motorists. For those who would prefer to sit outdoors, Bovaconti offers outside seating with a great view. On the inside, the distinct wallpaper, ceiling design, floors and exposed brick provide a visually stimulating experience that distinguishes this coffee shop. Having gotten the nitro cold brew, I can confirm that the quality of their product will not leave you disappointed. Whether you want to grab a sip with friends, grind out work or grab a drink to go, Bovaconti is worth checking out.",review
2HxyBv7TBt9RgmF4OGdHQA,g02nOva_EMrEQLEB7Ipo5w,G-sfoITJTBW7cb3uJ0tUIg,1.0,2017-04-30 05:57:32,The woman who did my nails kept cutting my fingers with the electric file and regular file. They treat their paying customers like dirt. There was an issue with the help color I paid $10 For. I noticed it after I paid on my way to the car. I went right back in and the woman behind the counter did not want to file it off and repaint them after I just paid $10 extra for the gel color less than 2 minutes ago. She told me if she had it taken off she would have recharge me again the $10 I just paid them. They are not losing any money at all. The gel nail polish is $10 a bottle. Essentially I just paid for a whole bottle of nail polish. Every other place I have went too whenever there was an issue they fixed it right away and apologized. This is America not Asia or Vietnam. The hard working paying customer is always right in America. After the way I was treated I felt like calling the cops because I paid for a good service I did not receive. I felt like I was robbed. I will never go back too or recommend this place. Steer clear of this place unless you want to pay more for the worst service you will ever receive.,review
